"Fiscal_Year","Contracting_Agency_ID","fundingrequestingagencyid","ContractingOfficeID","fundingrequestingofficeid","PlatformPortfolio","ProjectID","ProductOrServiceCode","ClaimantProgramCode","CompetitionClassification","ClassifyNumberOfOffers","PricingMechanism","research_code","VendorSize","ParentID","dunsnumber","CSIStransactionID","CSIScontractID","idvpiid","idvagencyid","agencyid","PIID","NumberOfActions","Action_Obligation_Then_Year","progsourceagency","progsourceaccount","progsourcesubacct","account_title","rec_flag","treasury_accounts_funding_this_award","federal_accounts_funding_this_award","usaspending_permalink","MainAccountTitle","ContractingAgencyName","Customer","SubCustomer","SubCustomer.sum","SubCustomer.platform","Competition.detail","Competition.sum","Competition.Graph","Competition.effective.only","Competition.multisum","No.Competition.sum","No.Competition.Offer","CompOffr","ProductOrServiceCodeText","SimpleArea","ProductOrServiceArea","ProductServiceOrRnDarea","CrisisProductOrServiceArea","Project.Name","IsUnknown","SubCustomer.JPO","Shiny.VendorSize","Action_Obligation_OMB23_GDP21","dFYear","descriptionofcontractrequirement","recipient_uei","recipient_parent_uei","parentdunsnumber","vendorname","standardizedvendorname","principalnaicscode"
2013,"2100","2100","W58RGZ","W58H0Z","Aircraft",70,"2840","A1C","No Competition (Only One Source Exception)","No competition","Firm Fixed Price","SR3","Large","ROLLS ROYCE","804754141",34324785,26301880,"W58RGZ09D0207","9700",9700,"0005",1,5542331.1,97,"4930","",NA,"",NA,NA,NA,"Defense Working Capital Funds, Defense","DEPT OF THE ARMY","Defense","Army","Army","Army","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","GAS TURBINES & JET ENGINES AIRCRAFT","Products","Engines & Power Plants","Engines & Power Plants","Engines & Power Plants","KIOWA WARRIOR",0,"Army","Large",6313951.24618246,2013-01-01,"DELIVERY ORDER 0005","KHK8QYLFGLU1",NA,217127290,"ROLLS-ROYCE CORPORATION","ROLLS ROYCE",336412
2011,"2100","2100","W58RGZ","W58H0Z","Aircraft",85,"2840","A1B","No Competition (Only One Source Exception)","No competition","Firm Fixed Price","SR3","Large","ROLLS ROYCE","804754141",24211343,24579971,"W58RGZ09D0207","9700",9700,"0004",1,15583.0098,97,"4930","",NA,"",NA,NA,NA,"Defense Working Capital Funds, Defense","DEPT OF THE ARMY","Defense","Army","Army","Army","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","GAS TURBINES & JET ENGINES AIRCRAFT","Products","Engines & Power Plants","Engines & Power Plants","Engines & Power Plants","SCOUT",0,"Army","Large",18355.193715702,2011-01-01,"REALIGN CLINS FOR ACTUAL WORK PERFORMED.","KHK8QYLFGLU1",NA,217127290,"ROLLS-ROYCE CORPORATION","ROLLS ROYCE",336412
2010,"2100","2100","W58RGZ","W58H0Z","Aircraft",52,"2840","A1B","No Competition (Only One Source Exception)","No competition","Firm Fixed Price","SR3","Large","ROLLS ROYCE","804754141",5838264,24579968,"W58RGZ09D0207","9700",9700,"0001",1,768006,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE ARMY","Defense","Army","Army","Army","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","GAS TURBINES & JET ENGINES AIRCRAFT","Products","Engines & Power Plants","Engines & Power Plants","Engines & Power Plants","BLACK HAWK (UH-60A/L)",0,"Army","Large",926063.590616299,2010-01-01,"ENGINE,AIRCRAFT,TUR","KHK8QYLFGLU1",NA,217127290,"ROLLS-ROYCE CORPORATION","ROLLS ROYCE",336412
2011,"2100","2100","W58RGZ","W58H0Z","Aircraft",NA,"2840","A1B","No Competition (Only One Source Exception)","No competition","Firm Fixed Price","SR3","Large","ROLLS ROYCE","804754141",25292005,24579970,"W58RGZ09D0207","9700",9700,"0003",1,-289485,97,"4930","",NA,"",NA,NA,NA,"Defense Working Capital Funds, Defense","DEPT OF THE ARMY","Defense","Army","Army","Army","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","GAS TURBINES & JET ENGINES AIRCRAFT","Products","Engines & Power Plants","Engines & Power Plants","Engines & Power Plants",NA,NA,"Army","Large",-340983.758656816,2011-01-01,"ANALYZE, OVERHAUL, REPAIR T63 TURBINE ENGINES.","KHK8QYLFGLU1",NA,217127290,"ROLLS-ROYCE CORPORATION","ROLLS ROYCE",336412
2013,"2100","2100","W58RGZ","W58H0Z","Aircraft",70,"2840","A1C","No Competition (Only One Source Exception)","No competition","Firm Fixed Price","SR3","Large","ROLLS ROYCE","804754141",34021643,26301880,"W58RGZ09D0207","9700",9700,"0005",1,1981823.7,97,"4930","",NA,"",NA,NA,NA,"Defense Working Capital Funds, Defense","DEPT OF THE ARMY","Defense","Army","Army","Army","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","GAS TURBINES & JET ENGINES AIRCRAFT","Products","Engines & Power Plants","Engines & Power Plants","Engines & Power Plants","KIOWA WARRIOR",0,"Army","Large",2257739.20658203,2013-01-01,"MOD TO REALIGN CLINS FROM TEARDOWN TO OVERHAUL AND INCREASE FUNDING.","KHK8QYLFGLU1",NA,217127290,"ROLLS-ROYCE CORPORATION","ROLLS ROYCE",336412
2010,"2100","2100","W58RGZ","W58H0Z","Aircraft",NA,"2840","A1B","No Competition (Only One Source Exception)","No competition","Firm Fixed Price","SR3","Large","ROLLS ROYCE","804754141",29031487,24579970,"W58RGZ09D0207","9700",9700,"0003",1,0,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE ARMY","Defense","Army","Army","Army","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","GAS TURBINES & JET ENGINES AIRCRAFT","Products","Engines & Power Plants","Engines & Power Plants","Engines & Power Plants",NA,NA,"Army","Large",0,2010-01-01,"OVERHAUL T63-A-720 TURBINE ENGINES.","KHK8QYLFGLU1",NA,217127290,"ROLLS-ROYCE CORPORATION","ROLLS ROYCE",336412
2010,"2100","2100","W58RGZ","W58H0Z","Aircraft",NA,"2840","A1B","No Competition (Only One Source Exception)","No competition","Firm Fixed Price","SR3","Large","ROLLS ROYCE","804754141",26684654,24579970,"W58RGZ09D0207","9700",9700,"0003",1,0,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE ARMY","Defense","Army","Army","Army","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","GAS TURBINES & JET ENGINES AIRCRAFT","Products","Engines & Power Plants","Engines & Power Plants","Engines & Power Plants",NA,NA,"Army","Large",0,2010-01-01,"T63 ENGINE OVERHAUL","KHK8QYLFGLU1",NA,217127290,"ROLLS-ROYCE CORPORATION","ROLLS ROYCE",336412
2010,"2100","2100","W58RGZ","W58H0Z","Aircraft",NA,"2840","A1B","No Competition (Only One Source Exception)","No competition","Firm Fixed Price","SR3","Large","ROLLS ROYCE","804754141",19121331,24579969,"W58RGZ09D0207","9700",9700,"0002",1,0,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE ARMY","Defense","Army","Army","Army","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","GAS TURBINES & JET ENGINES AIRCRAFT","Products","Engines & Power Plants","Engines & Power Plants","Engines & Power Plants",NA,NA,"Army","Large",0,2010-01-01,"ENGINE,AIRCRAFT,TUR","KHK8QYLFGLU1",NA,217127290,"ROLLS-ROYCE CORPORATION","ROLLS ROYCE",336412
2010,"2100","2100","W58RGZ","W58H0Z","Aircraft",NA,"2840","A1B","No Competition (Only One Source Exception)","No competition","Firm Fixed Price","SR3","Large","ROLLS ROYCE","804754141",20861891,24579969,"W58RGZ09D0207","9700",9700,"0002",1,718754,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE ARMY","Defense","Army","Army","Army","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","GAS TURBINES & JET ENGINES AIRCRAFT","Products","Engines & Power Plants","Engines & Power Plants","Engines & Power Plants",NA,NA,"Army","Large",866675.403590372,2010-01-01,"OVERHAUL, REPAIR T63-A-720 TURBINE ENGINES.","KHK8QYLFGLU1",NA,217127290,"ROLLS-ROYCE CORPORATION","ROLLS ROYCE",336412
2014,"2100","2100","W58RGZ","W58H0Z","Aircraft",70,"2840","A1C","No Competition (Only One Source Exception)","No competition","Firm Fixed Price","SR3","Large","ROLLS ROYCE","804754141",40510648,28225609,"W58RGZ09D0207","9700",9700,"0006",1,0,97,"4930","",NA,"",NA,NA,NA,"Defense Working Capital Funds, Defense","DEPT OF THE ARMY","Defense","Army","Army","Army","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","GAS TURBINES & JET ENGINES AIRCRAFT","Products","Engines & Power Plants","Engines & Power Plants","Engines & Power Plants","KIOWA WARRIOR",0,"Army","Large",0,2014-01-01,"DODAAC MOD","KHK8QYLFGLU1",NA,217127290,"ROLLS-ROYCE CORPORATION","ROLLS ROYCE",336412
2009,"2100","2100","W58RGZ","W58H0Z","Aircraft",52,"2840","A1B","No Competition (Only One Source Exception)","No competition","Firm Fixed Price","SR3","Large","ROLLS ROYCE","804754141",3346331,24579968,"W58RGZ09D0207","9700",9700,"0001",1,1667060,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE ARMY","Defense","Army","Army","Army","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","GAS TURBINES & JET ENGINES AIRCRAFT","Products","Engines & Power Plants","Engines & Power Plants","Engines & Power Plants","BLACK HAWK (UH-60A/L)",0,"Army","Large",2046235.12615363,2009-01-01,"TEST, ANALYZE, OVERHAUL, REPAIR T63-A-720 TURBINE ENGINES","KHK8QYLFGLU1",NA,217127290,"ROLLS-ROYCE CORPORATION","ROLLS ROYCE",336412
2016,"2100","2100","W58RGZ","W58H0Z","Aircraft",70,"2840","A1C","No Competition (Only One Source Exception)","No competition","Firm Fixed Price","SR3","Large","ROLLS ROYCE","804754141",60287995,28225609,"W58RGZ09D0207","9700",9700,"0006",1,6663.2402,97,"4930","",NA,"",NA,NA,NA,"Defense Working Capital Funds, Defense","DEPT OF THE ARMY","Defense","Army","Army","Army","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","GAS TURBINES & JET ENGINES AIRCRAFT","Products","Engines & Power Plants","Engines & Power Plants","Engines & Power Plants","KIOWA WARRIOR",0,"Army","Large",7385.55998260485,2016-01-01,"MOD FOR CLIN REALIGNMENT TO SHIP LAST ENGINE.","KHK8QYLFGLU1",NA,217127290,"ROLLS-ROYCE CORPORATION","ROLLS ROYCE",336412
2014,"2100","2100","W58RGZ","W58H0Z","Aircraft",70,"2840","A1C","No Competition (Only One Source Exception)","No competition","Firm Fixed Price","SR3","Large","ROLLS ROYCE","804754141",37279472,28225609,"W58RGZ09D0207","9700",9700,"0006",1,0,97,"4930","",NA,"",NA,NA,NA,"Defense Working Capital Funds, Defense","DEPT OF THE ARMY","Defense","Army","Army","Army","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","GAS TURBINES & JET ENGINES AIRCRAFT","Products","Engines & Power Plants","Engines & Power Plants","Engines & Power Plants","KIOWA WARRIOR",0,"Army","Large",0,2014-01-01,"MOD TO RESOLVE ROD AND PROVIDE GFM INSTRUCTIONS.","KHK8QYLFGLU1",NA,217127290,"ROLLS-ROYCE CORPORATION","ROLLS ROYCE",336412
2010,"2100","2100","W58RGZ","W58H0Z","Aircraft",NA,"2840","A1B","No Competition (Only One Source Exception)","No competition","Firm Fixed Price","SR3","Large","ROLLS ROYCE","804754141",1688831,24579969,"W58RGZ09D0207","9700",9700,"0002",1,8261800,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE ARMY","Defense","Army","Army","Army","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","GAS TURBINES & JET ENGINES AIRCRAFT","Products","Engines & Power Plants","Engines & Power Plants","Engines & Power Plants",NA,NA,"Army","Large",9962099.47963133,2010-01-01,"ENGINE,AIRCRAFT,TUR","KHK8QYLFGLU1",NA,217127290,"ROLLS-ROYCE CORPORATION","ROLLS ROYCE",336412
2011,"2100","2100","W58RGZ","W58H0Z","Aircraft",85,"2840","A1B","No Competition (Only One Source Exception)","No competition","Firm Fixed Price","SR3","Large","ROLLS ROYCE","804754141",3461900,24579971,"W58RGZ09D0207","9700",9700,"0004",1,9312911,97,"4930","",NA,"",NA,NA,NA,"Defense Working Capital Funds, Defense","DEPT OF THE ARMY","Defense","Army","Army","Army","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","GAS TURBINES & JET ENGINES AIRCRAFT","Products","Engines & Power Plants","Engines & Power Plants","Engines & Power Plants","SCOUT",0,"Army","Large",10969657.8296506,2011-01-01,"OVERHAUL OF T63 ENGINES","KHK8QYLFGLU1",NA,217127290,"ROLLS-ROYCE CORPORATION","ROLLS ROYCE",336412
2010,"2100","2100","W58RGZ","W58H0Z","Aircraft",NA,"2840","A1B","No Competition (Only One Source Exception)","No competition","Firm Fixed Price","SR3","Large","ROLLS ROYCE","804754141",30100319,24579969,"W58RGZ09D0207","9700",9700,"0002",1,1449006,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE ARMY","Defense","Army","Army","Army","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","GAS TURBINES & JET ENGINES AIRCRAFT","Products","Engines & Power Plants","Engines & Power Plants","Engines & Power Plants",NA,NA,"Army","Large",1747215.12486173,2010-01-01,"TEST, ANALYZE AND OVERHAUL T63-A-720 TURBINE ENGINES.","KHK8QYLFGLU1",NA,217127290,"ROLLS-ROYCE CORPORATION","ROLLS ROYCE",336412
2010,"2100","2100","W58RGZ","W58H0Z","Aircraft",NA,"2840","A1B","No Competition (Only One Source Exception)","No competition","Firm Fixed Price","SR3","Large","ROLLS ROYCE","804754141",6002879,24579969,"W58RGZ09D0207","9700",9700,"0002",1,-826180,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE ARMY","Defense","Army","Army","Army","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","GAS TURBINES & JET ENGINES AIRCRAFT","Products","Engines & Power Plants","Engines & Power Plants","Engines & Power Plants",NA,NA,"Army","Large",-996209.947963133,2010-01-01,"OVERHAUL T63-A-720 ENGINES.","KHK8QYLFGLU1",NA,217127290,"ROLLS-ROYCE CORPORATION","ROLLS ROYCE",336412
2011,"2100","2100","W58RGZ","W58H0Z","Aircraft",NA,"2840","A1B","No Competition (Only One Source Exception)","No competition","Firm Fixed Price","SR3","Large","ROLLS ROYCE","804754141",7267771,24579970,"W58RGZ09D0207","9700",9700,"0003",1,-407655,97,"4930","",NA,"",NA,NA,NA,"Defense Working Capital Funds, Defense","DEPT OF THE ARMY","Defense","Army","Army","Army","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","GAS TURBINES & JET ENGINES AIRCRAFT","Products","Engines & Power Plants","Engines & Power Plants","Engines & Power Plants",NA,NA,"Army","Large",-480175.947407445,2011-01-01,"OVERHAUL OR REPAIR T63-A-720 TURBINE ENGINES.","KHK8QYLFGLU1",NA,217127290,"ROLLS-ROYCE CORPORATION","ROLLS ROYCE",336412
2011,"2100","2100","W58RGZ","W58H0Z","Aircraft",85,"2840","A1B","No Competition (Only One Source Exception)","No competition","Firm Fixed Price","SR3","Large","ROLLS ROYCE","804754141",22360340,24579971,"W58RGZ09D0207","9700",9700,"0004",1,16268.04,97,"4930","",NA,"",NA,NA,NA,"Defense Working Capital Funds, Defense","DEPT OF THE ARMY","Defense","Army","Army","Army","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","GAS TURBINES & JET ENGINES AIRCRAFT","Products","Engines & Power Plants","Engines & Power Plants","Engines & Power Plants","SCOUT",0,"Army","Large",19162.0893144012,2011-01-01,"REALIGNMENT MODIFICATION","KHK8QYLFGLU1",NA,217127290,"ROLLS-ROYCE CORPORATION","ROLLS ROYCE",336412
2013,"2100","2100","W58RGZ","W58H0Z","Aircraft",70,"2840","A1C","No Competition (Only One Source Exception)","No competition","Firm Fixed Price","SR3","Large","ROLLS ROYCE","804754141",36377497,26301880,"W58RGZ09D0207","9700",9700,"0005",1,17524.51,97,"4930","",NA,"",NA,NA,NA,"Defense Working Capital Funds, Defense","DEPT OF THE ARMY","Defense","Army","Army","Army","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","GAS TURBINES & JET ENGINES AIRCRAFT","Products","Engines & Power Plants","Engines & Power Plants","Engines & Power Plants","KIOWA WARRIOR",0,"Army","Large",19964.3254357786,2013-01-01,"MOD FOR CLIN REALIGNMENT TO ORDER 0005","KHK8QYLFGLU1",NA,217127290,"ROLLS-ROYCE CORPORATION","ROLLS ROYCE",336412
2014,"2100","2100","W58RGZ","W58H0Z","Aircraft",70,"2840","A1C","No Competition (Only One Source Exception)","No competition","Firm Fixed Price","SR3","Large","ROLLS ROYCE","804754141",38711366,28225609,"W58RGZ09D0207","9700",9700,"0006",1,0,97,"4930","",NA,"",NA,NA,NA,"Defense Working Capital Funds, Defense","DEPT OF THE ARMY","Defense","Army","Army","Army","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","GAS TURBINES & JET ENGINES AIRCRAFT","Products","Engines & Power Plants","Engines & Power Plants","Engines & Power Plants","KIOWA WARRIOR",0,"Army","Large",0,2014-01-01,"MOD TO PROVIDE UNSERVICABLE GOVERNORS AS GFM AND MOD DELIVERY SCHEDULE","KHK8QYLFGLU1",NA,217127290,"ROLLS-ROYCE CORPORATION","ROLLS ROYCE",336412
2011,"2100","2100","W58RGZ","W58H0Z","Aircraft",85,"2840","A1B","No Competition (Only One Source Exception)","No competition","Firm Fixed Price","SR3","Large","ROLLS ROYCE","804754141",4345182,24579971,"W58RGZ09D0207","9700",9700,"0004",1,49455.9297,97,"4930","",NA,"",NA,NA,NA,"Defense Working Capital Funds, Defense","DEPT OF THE ARMY","Defense","Army","Army","Army","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","GAS TURBINES & JET ENGINES AIRCRAFT","Products","Engines & Power Plants","Engines & Power Plants","Engines & Power Plants","SCOUT",0,"Army","Large",58254.0331864285,2011-01-01,"ANALYZE, TEST, REPAIR, OVERHAUL T63-A-720 AIRCRAFT TURBINE ENGINES.","KHK8QYLFGLU1",NA,217127290,"ROLLS-ROYCE CORPORATION","ROLLS ROYCE",336412
2010,"2100","2100","W58RGZ","W58H0Z","Aircraft",52,"2840","A1B","No Competition (Only One Source Exception)","No competition","Firm Fixed Price","SR3","Large","ROLLS ROYCE","804754141",10840739,24579968,"W58RGZ09D0207","9700",9700,"0001",1,0,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE ARMY","Defense","Army","Army","Army","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","GAS TURBINES & JET ENGINES AIRCRAFT","Products","Engines & Power Plants","Engines & Power Plants","Engines & Power Plants","BLACK HAWK (UH-60A/L)",0,"Army","Large",0,2010-01-01,"TEARDOWN, ANALYSIS, OVERHAUL T63-A-720 ENGINES.","KHK8QYLFGLU1",NA,217127290,"ROLLS-ROYCE CORPORATION","ROLLS ROYCE",336412
2010,"2100","2100","W58RGZ","W58H0Z","Aircraft",NA,"2840","A1B","No Competition (Only One Source Exception)","No competition","Firm Fixed Price","SR3","Large","ROLLS ROYCE","804754141",13241432,24579969,"W58RGZ09D0207","9700",9700,"0002",1,542572,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE ARMY","Defense","Army","Army","Army","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","GAS TURBINES & JET ENGINES AIRCRAFT","Products","Engines & Power Plants","Engines & Power Plants","Engines & Power Plants",NA,NA,"Army","Large",654234.699322488,2010-01-01,"THIS IS A MODIFICATION TO DELIVERY ORDER 0002.","KHK8QYLFGLU1",NA,217127290,"ROLLS-ROYCE CORPORATION","ROLLS ROYCE",336412
2010,"2100","2100","W58RGZ","W58H0Z","Aircraft",NA,"2840","A1B","No Competition (Only One Source Exception)","No competition","Firm Fixed Price","SR3","Large","ROLLS ROYCE","804754141",29443413,24579969,"W58RGZ09D0207","9700",9700,"0002",1,1031339,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE ARMY","Defense","Army","Army","Army","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","GAS TURBINES & JET ENGINES AIRCRAFT","Products","Engines & Power Plants","Engines & Power Plants","Engines & Power Plants",NA,NA,"Army","Large",1243591.19262431,2010-01-01,"TEST, ANALYZE, OVERHAUL OR REPAIR T63-A-720 ENGINES","KHK8QYLFGLU1",NA,217127290,"ROLLS-ROYCE CORPORATION","ROLLS ROYCE",336412
2011,"2100","2100","W58RGZ","W58H0Z","Aircraft",85,"2840","A1B","No Competition (Only One Source Exception)","No competition","Firm Fixed Price","SR3","Large","ROLLS ROYCE","804754141",26521149,24579971,"W58RGZ09D0207","9700",9700,"0004",1,0,97,"4930","",NA,"",NA,NA,NA,"Defense Working Capital Funds, Defense","DEPT OF THE ARMY","Defense","Army","Army","Army","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","GAS TURBINES & JET ENGINES AIRCRAFT","Products","Engines & Power Plants","Engines & Power Plants","Engines & Power Plants","SCOUT",0,"Army","Large",0,2011-01-01,"OVERHAUL T63 TURBINE ENGINES.","KHK8QYLFGLU1",NA,217127290,"ROLLS-ROYCE CORPORATION","ROLLS ROYCE",336412
2010,"2100","2100","W58RGZ","W58H0Z","Aircraft",NA,"2840","A1B","No Competition (Only One Source Exception)","No competition","Firm Fixed Price","SR3","Large","ROLLS ROYCE","804754141",871539,24579969,"W58RGZ09D0207","9700",9700,"0002",1,0,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE ARMY","Defense","Army","Army","Army","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","GAS TURBINES & JET ENGINES AIRCRAFT","Products","Engines & Power Plants","Engines & Power Plants","Engines & Power Plants",NA,NA,"Army","Large",0,2010-01-01,"ENGINE,AIRCRAFT,TUR","KHK8QYLFGLU1",NA,217127290,"ROLLS-ROYCE CORPORATION","ROLLS ROYCE",336412
2015,"2100","2100","W58RGZ","W58H0Z","Aircraft",70,"2840","A1C","No Competition (Only One Source Exception)","No competition","Firm Fixed Price","SR3","Large","ROLLS ROYCE","804754141",42043991,28225609,"W58RGZ09D0207","9700",9700,"0006",1,0,97,"4930","",NA,"",NA,NA,NA,"Defense Working Capital Funds, Defense","DEPT OF THE ARMY","Defense","Army","Army","Army","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","GAS TURBINES & JET ENGINES AIRCRAFT","Products","Engines & Power Plants","Engines & Power Plants","Engines & Power Plants","KIOWA WARRIOR",0,"Army","Large",0,2015-01-01,"MOD TO PROVIDE INSTRUCTIONS TO SHIP SERVICABLE ENGINE AND SEND REPLACEMENT.","KHK8QYLFGLU1",NA,217127290,"ROLLS-ROYCE CORPORATION","ROLLS ROYCE",336412
2013,"2100","2100","W58RGZ","W58H0Z","Aircraft",70,"2840","A1C","No Competition (Only One Source Exception)","No competition","Firm Fixed Price","SR3","Large","ROLLS ROYCE","804754141",34650336,26301880,"W58RGZ09D0207","9700",9700,"0005",1,0,97,"4930","",NA,"",NA,NA,NA,"Defense Working Capital Funds, Defense","DEPT OF THE ARMY","Defense","Army","Army","Army","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","GAS TURBINES & JET ENGINES AIRCRAFT","Products","Engines & Power Plants","Engines & Power Plants","Engines & Power Plants","KIOWA WARRIOR",0,"Army","Large",0,2013-01-01,"MOD TO ADD UNIQUE DODAAC","KHK8QYLFGLU1",NA,217127290,"ROLLS-ROYCE CORPORATION","ROLLS ROYCE",336412
2014,"2100","2100","W58RGZ","W58H0Z","Aircraft",70,"2840","A1C","No Competition (Only One Source Exception)","No competition","Firm Fixed Price","SR3","Large","ROLLS ROYCE","804754141",36503926,28225609,"W58RGZ09D0207","9700",9700,"0006",1,-1254993.19,97,"4930","",NA,"",NA,NA,NA,"Defense Working Capital Funds, Defense","DEPT OF THE ARMY","Defense","Army","Army","Army","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","GAS TURBINES & JET ENGINES AIRCRAFT","Products","Engines & Power Plants","Engines & Power Plants","Engines & Power Plants","KIOWA WARRIOR",0,"Army","Large",-1407239.06473694,2014-01-01,"CLIN REALIGNMENT","KHK8QYLFGLU1",NA,217127290,"ROLLS-ROYCE CORPORATION","ROLLS ROYCE",336412
