,PE#,Project#,PE/Project/Accomplishments/Planned Programs Title,,PB19,PB20,PB21,PB22,PB23,,,,,,,
26,Project,0603216F,635098,Advanced Aerospace Propulsion,3,"This project develops and demonstrates, via ground and flight tests, the scramjet propulsion cycle to a technology readiness level appropriate for full integration with other engine cycles (including turbine and rocket-based) to provide the Air Force with transformational military capabilities. The primary focus is on the hydrocarbon- fueled, scramjet engine. Multi-cycle engines will provide the propulsion systems for possible application to support aircraft and weapon platforms operating up to Mach 7. Efforts include: scramjet flow-path optimization to enable operation over the widest possible range of Mach numbers; active combustion control to assure continuous positive thrust (even during mode transition); robust flame-holding to maintain stability through flow distortions; and maximized volume-to-surface area to minimize the thermal load imposed by the high-speed engine. Thermal management plays a vital role in scramjet and combined cycle engines, including considerations for protecting low speed propulsion systems (e.g., turbine engines) during hypersonic flight.  In FY 2021, the entirety of Project 635098, Advanced Aerospace Propulsion, will be transferred from PE 0603216F, Aerospace Propulsion & Power Technology, Project 635098, Advanced Aerospace Propulsion to PE 0603033F, Next Gen Platform Demo, Project 635098, Advanced Aerospace Propulsion, as part of the Air Force RDT&E BA 03 PE consolidation in order to realign technology areas to better support the National Defense Strategy, Air Force Future Operating Concept and Air Force Science and Technology Strategy, April 2019.  The Project and associated efforts will continue to be managed by the Air Force Research Laboratory Aerospace Systems Technology Directorate located in Wright Patterson Air Force Base, Ohio. This is an administrative realignment for consolidation, and not a new start.",0.000,29.913,18.814,0.000,0.000,0.000,0.000,0.000,0.000,0.000
26,Project,0603216F,63681B,Advanced Turbine Engine Gas Generator,3,"This project develops and demonstrates technology to increase turbine engine operational reliability, durability, mission flexibility, and performance while reducing weight, fuel consumption, and cost of ownership. The objective is to provide continuous evolution of technologies into an advanced gas generator in which the performance, cost, durability, repairability, and maintainability can be assessed in a realistic engine environment. The gas generator, or core, is the basic building block of the engine and nominally consists of a compressor, a combustor, a high-pressure turbine, mechanical systems, and core subsystems. Experimental core engine demonstration validates engineering design tools and enhances rapid, low-risk transition of key engine technologies into engineering development, where they can be applied to derivative and/or new systems. These technologies are applicable to a wide range of military and commercial systems including aircraft, missiles, land combat vehicles, ships, and responsive space launch. Component technologies are demonstrated in a core (sub-engine). This project also assesses the impact of low spool components such as; inlet systems, fans, low pressure turbines, exhaust systems, and system level technologies such as; integrated power generators and thermal management systems on core engine performance, and durability in ground demonstrations of engine cores. The core performances of this project are validated on demonstrator engines in the Aircraft Propulsion Subsystem Integration Project of this program. A portion of this project supports the demonstration of adaptive cycle technologies, which develop component technology for an adaptive cycle engine architecture that provides optimized performance, fuel efficiency, and durability for widely varying mission needs.  In FY 2021, the entirety of Project 63681B, Advanced Turbine Engine Gas Generator, will be transferred from PE 0603216F, Aerospace Propulsion & Power Technology, Project 63681B, to PE 0603033F, Next Gen Platform Demo, Project 63681B, Advanced Turbine Engine Gas Generator, as part of the Air Force RDT&E BA 03 PE consolidation in order to realign technology areas to better support the National Defense Strategy, Air Force Future Operating Concept and Air Force Science and Technology Strategy, April 2019.  The Project and associated efforts will continue to be managed by the Air Force Research Laboratory Aerospace Systems Technology Directorate located in Wright Patterson Air Force, Ohio. This is an administrative realignment for consolidation, and not a new start.",0.000,23.036,38.831,0.000,0.000,0.000,0.000,0.000,0.000,0.000
45,PE,0604004F,,Advanced Engine Development,04,,0.000,696.099,671.442,636.495,0.000,636.495,111.830,208.687,218.644,0.000
45,Project,0604004F,643608,Advanced Engine Dev,4,"The Advanced Engine Development Program enables demonstration of advanced turbine engine prototypes. This program is maturing fuel efficient adaptive engine component technologies and reducing associated risk in preparation for next-generation propulsion system development for combat aircraft applications. Adaptive engine technology enables next generation combat aircraft capabilities by combining the efficiency of high bypass turbofans used by commercial airlines with the performance demanded of military fighter engines. This technology has undergone initial development under the auspices of the Air Force Research Laboratory through the Adaptive Engine Technology and Adaptive Engine Technology Demonstrator programs.  In addition, this program element may include necessary civilian pay expenses required to manage, execute, and deliver advanced engine capabilities. The use of such program funds would be in addition to the civilian pay expenses budgeted in program element 0605831F.  This effort is in Budget Activity 4, Advanced Component Development and Prototypes (ACD&P), because efforts are necessary to evaluate integrated technologies, representative modes or prototype systems in a high fidelity and realistic operating environment.",0.000,696.099,671.442,636.495,0.000,636.495,111.830,208.687,218.644,0.000
190,PE,0207268F,,Aircraft Engine Component Improvement Program,07,"The Aircraft Engine Component Improvement Program (CIP) provides the only source of critical sustaining engineering support for in-service Air Force engines to maintain flight safety (highest priority) to correct deficiencies, improve system operational readiness (OR) and reliability & maintainability (R&M), reduce engine Life Cycle Cost (LCC), and sustain engines throughout their service life.    Changes in aircraft operational parameters caused by changing missions and tasks accelerate new engine problems; Engine CIP provides the means to develop fixes for these problems. Engine CIP funding is driven by field events and types/maturity of engines, not by the total engine quantity. The program starts with government acceptance of the first procurement-funded engine and continues over the engine's life, gradually decreasing to a minimum level (safety/depot repairs) sufficient to keep older engines operational. Engine CIP testing identifies and fixes engine-related problems ahead of operational impacts. R&M related Engine CIP efforts significantly reduce out year Operations and Maintenance (O&M) and spares costs.  This program element may include necessary civilian pay expenses required to manage, execute, and deliver CIP weapon system capability.  The use of such program funds would be in addition to the civilian pay expenses budgeted in program elements 0605826F, 0605827F, 0605828F, 0605829F, 0605830F, 0605831F, 0605832F, and 0605898F.  As directed in the FY 2018 NDAA, Sec 825, amendment to PL 114-92 FY 2016 NDAA, Sec 828 Penalty for Cost Overruns, the FY 2018 Air Force penalty total is $14.373M. The calculated percentage reduction to each research, development, test and evaluation and procurement account will be allocated proportionally from all programs, projects, or activities under such account.  This program is in Budget Activity 7, Operational System Development because this budget activity includes development efforts to upgrade systems that have been fielded or have received approval for full rate production and anticipate production funding in the current or subsequent fiscal year.",0.000,105.664,121.203,112.505,0.000,112.505,114.617,116.996,119.126,0.000
190,Project,0207268F,671012,Aircraft Engine Component Improvement Program,7,"The Aircraft Engine Component Improvement Program (CIP) provides the only source of critical sustaining engineering support for in-service Air Force engines to maintain flight safety (highest priority) to correct deficiencies, improve system operational readiness (OR) and reliability & maintainability (R&M), reduce engine Life Cycle Cost (LCC), and sustain engines throughout their service life.    Changes in aircraft operational parameters caused by changing missions and tasks accelerate new engine problems; Engine CIP provides the means to develop fixes for these problems. Engine CIP funding is driven by field events and types/maturity of engines, not by the total engine quantity. The program starts with government acceptance of the first procurement-funded engine and continues over the engine's life, gradually decreasing to a minimum level (safety/depot repairs) sufficient to keep older engines operational. Engine CIP testing identifies and fixes engine-related problems ahead of operational impacts. R&M related Engine CIP efforts significantly reduce out year Operations and Maintenance (O&M) and spares costs.  This program element may include necessary civilian pay expenses required to manage, execute, and deliver CIP weapon system capability.  The use of such program funds would be in addition to the civilian pay expenses budgeted in program elements 0605826F, 0605827F, 0605828F, 0605829F, 0605830F, 0605831F, 0605832F, and 0605898F.",0.000,74.464,88.646,79.342,0.000,79.342,80.879,82.558,84.061,0.000
190,Project,0207268F,675365,F135 Aircraft Engine Component Improvement Program,7,"The F135 Aircraft Engine Component Improvement Program (CIP) supports F-35 single-engine fighter propulsion system.  It provides the only source of critical developmental engineering support for the F135 propulsion system.  F135 CIP maintains flight safety (highest priority), corrects service revealed deficiencies, improves system Operational Readiness (OR) and Reliability & Maintainability (R&M), reduces propulsion system Life Cycle Cost (LCC), and sustains the propulsion system throughout its service life. Historically, aircraft systems change missions, tactics, and environment (including new fuels) and meet changing threats throughout their lives.  New technical problems can develop in the propulsion system through actual use and the F135 CIP provides the means to develop fixes for these problems.  F135 CIP funding is driven by field events and type/maturity of the propulsion system, not by the total quantity of engines.  The program starts with government acceptance of the first procurement-funded engine and continues over the propulsion system's life, gradually decreasing to a minimum level (safety/depot repairs) sufficient to keep older engines operational.  F135 CIP, through ""Lead the Fleet"" operational use and accelerated mission testing, identifies and fixes propulsion-related problems ahead of operational impacts.    F135 CIP ensures continued improvements in R&M, which reduce out year support costs.  Historically, R&M related CIP efforts significantly reduce out year O&M and spares costs.  This program element may include necessary civilian pay expenses required to manage, execute, and deliver CIP weapon system capability.  The use of such program funds would be in addition to the civilian pay expenses budgeted in program elements 0605826F, 0605827F, 0605828F, 0605829F, 0605830F, 0605831F, 0605832F, and 0605898F.",0.000,31.200,32.557,33.163,0.000,33.163,33.738,34.438,35.065,0.000
,,,,,,,,,,,,,,,,
PB2020,,,,,,,,,,,,,,,,
Line#,Type,PE#,Project#,PE/Project/Accomplishments/Planned Programs Title,BA#,Description,Prior Years,FY 2018,FY 2019,FY 2020 Base,FY 2020 OCO,FY 2020 Total,FY 2021,FY 2022,FY 2023,FY 2024
4,PE,0602102F,,Materials,02,"This program develops advanced materials, processing, and inspection technologies to reduce life cycle costs and improve performance, sustainability, availability, affordability, supportability, reliability, and survivability of current and future Air Force systems and operations. The program has three projects that develop: structural, propulsion, and sub-systems materials and processes technologies; electronic, optical, and survivability materials and processes technologies; and sustainment materials, processes technologies, and advanced non-destructive inspection methodologies. Efforts in the program have been coordinated through the Department of Defense Science and Technology Executive Committee process to harmonize efforts and eliminate duplication.  This program element may include necessary civilian pay expenses required to manage, execute, and deliver science & technology capabilities. The use of program funds in this PE would be in addition to the civilian pay expenses budgeted in program elements 0601102F, 0602201F, 0602202F, 0602203F, 0602204F, 0602602F, 0602605F, 0602788F, 1206601F, and 0602298F.  As directed in the FY 2018 NDAA, Sec 825, amendment to PL 114-92 FY 2016 NDAA, Sec 828 Penalty for Cost Overruns, the FY 2018 Air Force penalty total is $14.373M. The calculated percentage reduction to each research, development, test and evaluation and procurement account will be allocated proportionally from all programs, projects, or activities under such account.  This program is in Budget Activity 2, Applied Research because this budget activity includes studies, investigations, and non-system specific technology efforts directed toward general military needs with a view toward developing and evaluating the feasibility and practicality of proposed solutions and determining their parameters.",0.000,143.900,181.373,128.851,0.000,128.851,126.436,130.469,135.447,138.498
4,Project,0602102F,624347,"Materials for Structures, Propulsion, and Subsystems",2,"This project develops the materials and processing technology base for aircraft, spacecraft, launch systems, and missiles to improve affordability, maintainability, and performance of current and future Air Force systems. A family of affordable lightweight materials is being developed, including metals, polymers, ceramics, metallic and nonmetallic composites, and hybrid materials to provide upgraded capabilities for existing aircraft, missile, and propulsion systems to meet the future system requirements. The project develops high-temperature turbine engine materials that will enable engine designs to improve turbine engine thrust-to-weight ratio, specific fuel consumption and affordability. Advanced high temperature protection materials are being developed that are affordable, lightweight, dimensionally stable, thermally conductive, and/or ablation and erosion resistant to meet aerospace and missile requirements. Alternative or replacement materials are being developed to maintain the performance of aging operational systems. The project concurrently develops advanced processing methods to enable adaptive processing of aerospace materials.",0.000,62.934,88.375,49.844,0.000,49.844,45.959,47.385,49.193,50.337
7,PE,0602203F,,Aerospace Propulsion,02,"This effort develops propulsion and power technologies to achieve enabling and revolutionary aerospace technology capabilities. The effort has six projects, each focusing on a technology area critical to the Air Force. The Advanced Propulsion Technology project develops high-speed air breathing propulsion engines to include combined cycle, ramjet, and hypersonic scramjet technologies to enable revolutionary propulsion capability for the Air Force. The Combustion and Mechanical Systems project develops engine mechanical system technologies: bearings, seals, drives, and lubricants as well as combustion components, concepts, and technologies for legacy and advanced turbine engines. The Turbine Engine Technology project develops enabling capabilities to enhance performance and affordability of existing weapon systems and develops component technologies for ultra high pressure ratio, substantially improved durability, and adaptive cycle engine architecture to provide optimized performance, fuel efficiency, and life for widely varying mission needs. The Aerospace Power Technology project develops electrical power and thermal control technologies for military applications that remove operational limitations and enable advanced vehicle designs and high-power mission systems. The Rocket Propulsion Technology project develops advances in rocket propulsion technologies for space access, space maneuver, missiles, the sustainment of strategic systems, and tactical rockets. The Aerospace Fuel Technology project evaluates hydrocarbon-based fuels for legacy and advanced turbine engines, scramjets, pulse detonation, and combined-cycle engines. Efforts in this program have been coordinated through the Department of Defense (DoD) Science and Technology (S&T) Executive Committee process to harmonize efforts and eliminate duplication.  This program element may include necessary civilian pay expenses required to manage, execute, and deliver science & technology capabilities.  The use of such program funds would be in addition to the civilian pay expenses budgeted in program elements 0601102F, 0602102F, 0602201F, 0602202F, 0602204F, 0602602F, 0602605F, 0602788F, 1206601F, and 0602298F.  As directed in the FY 2018 NDAA, Sec 825, amendment to PL 114-92 FY 2016 NDAA, Sec 828 Penalty for Cost Overruns, the FY 2018 Air Force penalty total is $14.373M. The calculated percentage reduction to each research, development, test and evaluation and procurement account will be allocated proportionally from all programs, projects, or activities under such account.  This program is in Budget Activity 2, Applied Research because this budget activity includes studies, investigations, and non-system specific technology efforts directed toward general military needs with a view toward developing and evaluating the feasibility and practicality of proposed solutions and determining their parameters.",0.000,192.846,218.419,198.775,0.000,198.775,196.753,201.123,208.608,213.049
7,Project,0602203F,623012,Advanced Propulsion Technology,2,"This project develops combined/advanced cycle air breathing high-speed (up to Mach 5) and hypersonic (Mach 5 to 7) propulsion technologies to provide revolutionary propulsion options for the Air Force. These new engine technologies will enable future high-speed/hypersonic weapons and aircraft concepts. The primary focus is on hydrocarbon-fueled engines capable of operating over a broad range of flight Mach numbers. Efforts include modeling, simulations, and proof of concept demonstrations of critical components; advanced component development; and ground-based demonstrations.",0.000,27.912,26.813,29.802,0.000,29.802,26.465,28.557,29.599,30.212
7,Project,0602203F,623048,Combustion and Mechanical Systems,2,"This project evaluates lubricants, mechanical systems, and combustion concepts for advanced turbine engines, pulse detonation engines, and combined cycle engines. This project also develops technologies to increase turbine engine operational reliability, durability, mission flexibility, maintainability, and performance while reducing weight, fuel consumption, and cost of ownership. Applications include:  missiles, aircraft, and re-usable high-speed vehicles. Analytical and experimental areas of emphasis include:  lubricants, bearings, mechanical systems diagnostics, mechanical systems prognostics, rotor dynamics, oil-less engine technology, optical diagnostics, fundamental combustion, detonations, combustors, and afterburners. Lubricants for these engines must be thermally stable, cost-effective, and operate over a broad range of conditions. Advanced combustion concepts must be cost-effective, durable, and reduce pollutant emissions. A portion of this project supports adaptive cycle technologies. Adaptive cycle technologies develops component technology for an adaptive cycle engine architecture that provides both optimized performance and fuel efficiency for widely varying mission needs.",0.000,10.733,10.691,11.134,0.000,11.134,11.345,11.578,11.998,12.245
7,Project,0602203F,623066,Turbine Engine Technology,2,"This project develops technology to increase turbine engine operational reliability, durability, mission flexibility, and performance, while reducing weight, fuel consumption, and cost of ownership. Analytical and experimental areas of emphasis are fans and compressors, high temperature combustors, turbines, internal flow systems, controls, augmentor and exhaust systems, integrated power and thermal management systems, engine inlet integration, mechanical systems, adaptive cycle technologies, and structural design. This project develops component technology for an adaptive cycle engine architecture that provides both optimized performance and fuel efficiency for widely varying mission needs. This project supports joint Department of Defense, agency, and industry efforts to focus turbine propulsion technology on national needs. The project plan is relevant across capability areas for global responsive strike, tactical and global mobility, responsive space lift, and persistent intelligence, surveillance, and reconnaissance (ISR).",0.000,53.304,52.429,56.582,0.000,56.582,57.940,59.137,61.290,62.558
7,Project,0602203F,625330,Aerospace Fuel Technology,2,"This project evaluates hydrocarbon-based fuels for legacy and advanced turbine engines, scramjets, pulse detonation and combined cycle engines. This project also considers fuel related concepts that can increase turbine engine operational reliability, durability, mission flexibility, energy efficiency, and performance while reducing weight, fuel consumption, and cost of ownership. Applications include missiles, aircraft, sustained high-speed vehicles, and responsive space launch. Analytical and experimental areas of emphasis include evaluations of fuel properties and characteristics of alternative fuels developed from unconventional sources (such as coal, natural gas, biomass, and combinations thereof), unique/alternate fuels and components used in integrated thermal and energy management systems including high heat sink fuel capability, fuels logistics and associated vulnerabilities, and combustion diagnostics and engine emissions measurements.",0.000,4.567,4.544,4.742,0.000,4.742,4.835,4.937,5.119,5.227
21,PE,0603216F,,Aerospace Propulsion and Power Technology,03,"This program develops and demonstrates technologies to achieve enabling and revolutionary advances in turbine, advanced-cycle, rocket, and space propulsion as well as electrical power, thermal management, and fuels.  The program has six projects, each focusing on technologies with a high potential to enhance the performance of existing and future Air Force weapon systems.  The Aerospace Fuels project develops and demonstrates improved hydrocarbon fuels and advanced propulsion systems, including those for air-breathing, high-speed/hypersonic flight.  The Aerospace Power Technology project develops and demonstrates adaptive power and thermal management components, controls, and systems for high-power payloads and aircraft as part of energy-optimized aircraft development.  The Aircraft Propulsion Subsystems Integration project develops demonstrator engines by integrating the engine cores demonstrated in the Advanced Turbine Engine Gas Generator project with low-pressure components.   The Space and Missile Rocket Propulsion project develops and demonstrates innovative rocket propulsion technologies, propellants, and manufacturing techniques.  The Advanced Aerospace Propulsion project develops the scramjet propulsion cycle to a technology readiness level appropriate for in-flight demonstration and for full integration with other engine cycles (including turbine and rocket based).  The Advanced Turbine Engine Gas Generator project develops and demonstrates core turbine engine technologies for current and future aircraft propulsion systems.  Portions of the Aerospace Fuels, Aircraft Propulsion Subsystems Integration, and Advanced Turbine Gas Generator  projects support adaptive cycle technology demonstrations, which develop component technology for an adaptive cycle engine architecture that provides optimized performance, fuel efficiency, and durability for widely varying mission needs.  Projects in this program have been coordinated through the Department of Defense (DoD)  Science and Technology (S&T) Executive Committee process to harmonize efforts and eliminate duplication.  This program element may include necessary civilian pay expenses required to manage, execute, and deliver science & technology capabilities.  The use of such program funds would be in addition to the civilian pay expenses budgeted in program elements 0601102F, 0602102F, 0602201F, 0602202F, 0602203F, 0602204F, 0602605F, 0602788F, 1206601F, and 0602298F.  As directed in the FY 2018 NDAA, Sec 825, amendment to PL 114-92 FY 2016 NDAA, Sec 828 Penalty for Cost Overruns, the FY 2018 Air Force penalty total is $14.373M. The calculated percentage reduction to each research, development, test and evaluation and procurement account will be allocated proportionally from all programs, projects, or activities under such account.  This program is in Budget Activity 3, Advanced Technology Development because this budget activity includes development of subsystems and components and efforts to integrate subsystems and components into system prototypes for field experiments and/or tests in a simulated environment.",0.000,122.217,148.418,113.973,0.000,113.973,115.142,114.123,117.106,120.013
21,Project,0603216F,632480,Aerospace Fuels,3,"This project evaluates and demonstrates improved hydrocarbon fuels, unique special application fuels, alternate fuels and advanced, novel aerospace propulsion technologies for Air Force applications, including high-speed and hypersonic flight and technologies to increase turbine engine operational reliability, durability, mission flexibility, and performance, while reducing weight, fuel consumption, and cost of ownership. The advanced fuel emphasis is on demonstrating new thermally stable, high-heat sink, and controlled chemically reacting fuels for a conventional turbine engine, turbine-based combined cycle engines, and other advanced propulsion systems. The project also evaluates and demonstrates fuel system components that minimize cost, reduce maintenance, and improve performance of future aerospace systems. The advanced propulsion emphasis is on demonstrating concepts for combined cycle, ramjet, and scramjet engines. A portion of this project supports the demonstration of adaptive cycle technologies. This project develops component technology for an adaptive cycle engine architecture that provides optimized performance, fuel efficiency, and durability for widely varying mission needs.",0.000,2.436,2.340,2.386,0.000,2.386,2.434,2.483,2.532,2.583
21,Project,0603216F,634921,Aircraft Propulsion Subsystems Int,3,"This project develops and demonstrates technology to increase turbine engine operational reliability, durability, mission flexibility, and performance while reducing weight, fuel consumption, and cost of ownership. The Aircraft Propulsion Subsystems Integration (APSI) project includes demonstrator engines for manned systems and efficient small-scale propulsion for remotely piloted aircraft and cruise missile applications. The demonstrator engines integrate the core (high- pressure spool) technology developed under the Versatile Affordable Advanced Turbine Engines (VAATE) project with the engine (low-pressure spool) technology such as fans, turbines, engine controls, mechanical systems, exhaust nozzles, and augmentors. Additionally, this project includes activities to improve propulsion safety and readiness. This project also focuses on integration of inlets, nozzles, engine-to-airframe compatibility, and power and thermal management subsystems technologies. The APSI project provides aircraft with potential for longer range and higher cruise speeds with lower specific fuel consumption, surge power for successful engagements, high sortie rates with reduced maintenance, reduced life cycle cost, and improved survivability, resulting in increased mission effectiveness. Technologies developed are applicable to sustained high-speed vehicles and responsive space launch. The Aircraft Propulsion Subsystems Integration project is focused on improving propulsion capabilities while at the same time reducing the cost of ownership. Anticipated technology advances include turbine engine improvements providing approximately twice the range for a sustained supersonic combat aircraft, doubling the time on station with ten times the power output for surveillance aircraft and propulsion for a high speed supersonic missile with double the range for time sensitive targets. A portion of this project supports the demonstration of adaptive cycle technologies, which develop component technology for an adaptive cycle engine architecture that provides optimized performance, fuel efficiency, high power extraction, integrated thermal management, and durability for widely varying mission needs.",0.000,16.341,18.058,18.016,0.000,18.016,18.295,18.853,19.362,19.851
21,Project,0603216F,635098,Advanced Aerospace Propulsion,3,"This project develops and demonstrates, via ground and flight tests, the scramjet propulsion cycle to a technology readiness level appropriate for full integration with other engine cycles (including turbine and rocket-based) to provide the Air Force with transformational military capabilities. The primary focus is on the hydrocarbon- fueled, scramjet engine. Multi-cycle engines will provide the propulsion systems for possible application to support aircraft and weapon platforms operating up to Mach 7. Efforts include: scramjet flow-path optimization to enable operation over the widest possible range of Mach numbers; active combustion control to assure continuous positive thrust (even during mode transition); robust flame-holding to maintain stability through flow distortions; and maximized volume-to-surface area to minimize the thermal load imposed by the high-speed engine. Thermal management plays a vital role in scramjet and combined cycle engines, including considerations for protecting low speed propulsion systems (e.g., turbine engines) during hypersonic flight.",0.000,41.256,20.194,18.814,0.000,18.814,20.169,20.889,21.532,22.158
21,Project,0603216F,63681B,Advanced Turbine Engine Gas Generator,3,"This project develops and demonstrates technology to increase turbine engine operational reliability, durability, mission flexibility, and performance while reducing weight, fuel consumption, and cost of ownership. The objective is to provide continuous evolution of technologies into an advanced gas generator in which the performance, cost, durability, repairability, and maintainability can be assessed in a realistic engine environment. The gas generator, or core, is the basic building block of the engine and nominally consists of a compressor, a combustor, a high-pressure turbine, mechanical systems, and core subsystems. Experimental core engine demonstration validates engineering design tools and enhances rapid, low-risk transition of key engine technologies into engineering development, where they can be applied to derivative and/or new systems. These technologies are applicable to a wide range of military and commercial systems including aircraft, missiles, land combat vehicles, ships, and responsive space launch. Component technologies are demonstrated in a core (sub-engine). This project also assesses the impact of low spool components such as; inlet systems, fans, low pressure turbines, exhaust systems, and system level technologies such as; integrated power generators and thermal management systems on core engine performance, and durability in ground demonstrations of engine cores. The core performances of this project are validated on demonstrator engines in the Aircraft Propulsion Subsystem Integration Project of this program. A portion of this project supports the demonstration of adaptive cycle technologies, which develop component technology for an adaptive cycle engine architecture that provides optimized performance, fuel efficiency, and durability for widely varying mission needs.",0.000,14.803,28.652,21.831,0.000,21.831,22.183,22.822,23.411,23.979
37,PE,0604004F,,Advanced Engine Development,04,,0.000,0.000,720.355,878.442,0.000,878.442,637.657,0.000,0.000,0.000
37,Project,0604004F,643608,Advanced Engine Dev,4,"The Advanced Engine Development Program enables demonstration of advanced turbine engine prototypes. This program is maturing fuel efficient adaptive engine component technologies and reducing associated risk in preparation for next-generation propulsion system development for multiple combat aircraft applications. Adaptive engine technology enables next generation combat aircraft capabilities by combining the efficiency of high bypass turbofans used by commercial airlines with the performance demanded of military fighter engines. This technology has undergone initial development under the auspices of the Air Force Research Laboratory through the Adaptive Engine Technology and Adaptive Engine Technology Demonstrator programs.  The Advanced Engine Development program element is new for FY 2019. In FY 2019, the entirety of this program was transferred from PE 0604858F, Tech Transition Program, to PE 0604004F, Advanced Engine Development, Project 643608, Advanced Engine Dev, in order to provide increased transparency to Congress on Air Force prototyping activities as directed in the Defense Appropriations Act 2019. This is an administrative realignment only and is not a new start.  In addition, this program element may include necessary civilian pay expenses required to manage, execute, and deliver advanced engine capabilities. The use of such program funds would be in addition to the civilian pay expenses budgeted in program elements 0605826F, 0605827F, 0605828F, 0605829F, 0605830F, 0605831F, 0605832F, 0605898F, and 0605833F.  As directed in the FY 2018 NDAA, Sec 825, amendment to PL 114-92 FY 2016 NDAA, Sec 828 Penalty for Cost Overruns, the FY 2018 Air Force penalty total is $14.373M. The calculated percentage reduction to each research, development, test and evaluation and procurement account will be allocated proportionally from all programs, projects, or activities under such account.  This effort is in Budget Activity 4, Advanced Component Development and Prototypes (ACD&P), because efforts are necessary to evaluate integrated technologies, representative modes or prototype systems in a high fidelity and realistic operating environment.",0.000,0.000,720.355,878.442,0.000,878.442,637.657,0.000,0.000,0.000
48,PE,0604858F,,Tech Transition Program,04,"The Tech Transition Program provides funding to demonstrate, prototype, and experiment with technologies and concepts to enable or accelerate their transition to acquisition programs and/or operational use. The Technology Transition Program addresses the gap between initial technology or concept development and demonstration, and successful acquisition and operational capability implementation. Experimentation explores new concepts and their applications in potential future operating environments within a system-of-systems context. Prototyping enables integration and demonstration of emerging technologies to quickly move them into warfighting capability. The Tech Transition Program allows acquisition program managers (the capability developers) and warfighters (the capability recipients and end users) to prototype, integrate, and demonstrate candidate technologies and assess them in an operational environment in partnership with Program Executive Officers, schoolhouses, simulation facilities, and development planning organizations.   In FY 2019, the following efforts were transferred from PE 0604858F, Tech Transition Program: Advanced Engine Transition Program to PE 0604004F, Advanced Engine Development, Project 643608, Advanced Engine Development; Hypersonics Prototyping to PE 0604033F, Hypersonics Prototyping, Project 643885, Hypersonic Conventional Strike Weapon, and Project 643882, Air-Launched Rapid Response Weapon; and Directed Energy Prototyping to PE 0604032F, Directed Energy Prototyping, Project 640200, Directed Energy Prototyping. These transfers were Congressionally directed in the Department of Defense Appropriations Act of 2019 for greater transparency of Air Force prototyping activities.  In addition, this program element may include necessary civilian pay expenses required to manage, execute, and deliver weapon system capability. The use of such program funds would be in addition to the civilian pay expenses budgeted in program elements 0605826F, 0605827F, 0605828F, 0605829F, 0605830F, 0605831F, 0605832F, 0605898F, and 0605833F.  As directed in the FY 2018 NDAA, Sec 825, amendment to PL 114-92 FY 2016 NDAA, Sec 828 Penalty for Cost Overruns, the FY 2018 Air Force penalty total is $14.373M. The calculated percentage reduction to each research, development, test and evaluation and procurement account will be allocated proportionally from all programs, projects, or activities under such account.  This effort is in Budget Activity 4, Advanced Component Development and Prototypes (ACD&P), because efforts are necessary to evaluate integrated technologies, representative modes or prototype systems in a high fidelity and realistic operating environment.",0.000,"1,079.458",167.277,128.476,26.450,154.926,280.495,259.521,158.734,75.159
48,A/PP,0604858F,645351,Adaptive Engine Transition Program (AETP),4,,,565.450,0.000,0.000,0.000,0.000,,,,
86,PE,0604800F,,F-35 - EMD,05,"The F-35 Joint Strike Fighter (JSF) Program will develop and field an affordable, highly common family of next generation strike aircraft for the USN, USAF, USMC and allies. The three variants are the F-35A conventional takeoff and landing; F-35B short takeoff and vertical landing; and the F-35C Aircraft Carrier suitable variant. The F-35A will be a stealthy multi-role aircraft, primary air-to-ground for the Air Force to replace the F-16 and A-10 and complement the F-22. The F-35B variant will be a multi-role strike fighter aircraft to replace the AV-8B and F/A-18 for the Marine Corps, replace the Sea Harrier and GR 7 for the United Kingdom, and replace the AV-8 currently employed by the Italian Navy. The F-35C will provide the Department of the Navy a multi-role, stealthy strike fighter aircraft to complement the F/A-18E/F.  The United Kingdom, Italy, Netherlands, Turkey, Canada, Australia, Denmark, Norway, and Foreign Military Sales customers are also participants in the JSF program. The program shown here reflects USN, USMC, USAF, and International Partner funding.  Funding at the accomplishment/planned program level is reported as the total of all services and partners as these activities support all aircraft variants.  The System Development and Demonstration (SDD) budget funds a total quantity of 20 RDT&E test articles to include 6 ground test articles and 14 flight test articles for USN, USAF, and USMC use.  FY07: 1 F-35A flight test article FY08: 1 F-35B flight test article; 1 F-35B ground test article FY09: 1 F-35B flight test article; 2 F-35A ground test articles FY10: 6 flight test articles: 3 F-35A, 2 F-35B, 1 F-35C; 3 ground test articles: 1 F-35B, 2 F-35C FY11: 4 flight test articles: 1 F-35A,1 F-35B, 2 F-35C FY13: 1 F-35C flight test article  As directed in the FY 2018 NDAA, Sec 825, amendment to PL 114-92 FY 2016 NDAA, Sec 828 Penalty for Cost Overruns, the FY 2018 Air Force penalty total is $14.373M. The calculated percentage reduction to each research, development, test and evaluation and procurement account will be allocated proportionally from all programs, projects, or activities under such account.  This program is in Budget Activity 5, System Development and Demonstration (SDD) because it has passed Milestone B approval and is conducting engineering and manufacturing development tasks aimed at meeting validated requirements prior to full rate production.","50,438.576",282.126,69.001,7.628,0.000,7.628,5.434,0.013,0.000,0.000
86,A/PP,0604800F,653831,F135 Propulsion System (F-35 JSF),5,,,0.000,0.000,0.000,0.000,0.000,,,,
